fin_coa_cd|org_cd|obj_id|ver_nbr|descrshort|company|setid_location|location|tax_location_cd|manager_unvl_id|manager_posn|budget_yr_end_dt|budget_lvl|gl_expense|eeo4_function|accident_ins|si_accident_num|hazard|estabid|riskcd|fte_edit_indc|dept_tenure_flg|tl_distrib_info|use_budgets|use_encumbrances|use_distribution|budget_deptid|dist_prorate_optn|hp_stats_dept_cd|hp_stats_faculty|accounting_owner|country_grp|iu_org_mail_drp_cd|iu_org_address_2|iu_org_address_3|iu_campus_cd|iu_campus_bldg|iu_campus_room|iu_posn_allow_fl|iu_tenure_allow_fl|iu_title_allow_fl|iu_occ_un_allow_fl|org_fscl_aprvr_uid|last_update_date|
BL|MSCY|11400DC3EF53041EE043814FD881041E|1.0|BL-MSCY|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-MSCY| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|MSED|11400DC3EF54041EE043814FD881041E|1.0|BL-MSED|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-MSED| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|MUBA|11400DC3EF55041EE043814FD881041E|1.0|BL-MUBA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-MUBA| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|MUCA|11400DC3EF56041EE043814FD881041E|1.0|BL-MUCA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-MUCA| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|MUGS|11400DC3EF57041EE043814FD881041E|1.0|BL-MUGS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-MUGS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|MULT|11400DC3EF58041EE043814FD881041E|1.0|BL-MULT|IU||||1153304576||||||||||||||||||||||||||BL|||Y||Y|Y|4054206419|20040811000000|
BL|MUS|11400DC3EF59041EE043814FD881041E|1.0|BL-MUS|IU|IUBLA|BL|BL|1407101459||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-MUS|||||||||BL|||Y|Y|Y|Y|2422606713|20040811000000|
BL|MUSL|11400DC3EF5A041EE043814FD881041E|1.0|BL-MUSL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-MUSL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|NAMS|11400DC3F48B041EE043814FD881041E|1.0|BL-NAMS|IU||||||||||||||||||||||||||||||BL||||Y|Y||5598509810|20050322000000|
BL|NCAR|11400DC3F37E041EE043814FD881041E|1.0|BL-NCAR|IU||||4507204997||||||||||||||||||||||||SMITH RESEARCH 190||BL|BL573|190|||||5009908085|20041202000000|
BL|NCMC|11400DC3F47D041EE043814FD881041E|1.0|BL-NCMC|IU||||||||||||||||||||||||||||||BL||||Y|Y||3639507871|20050322000000|
BL|NELC|11400DC3EF5B041EE043814FD881041E|1.0|BL-NELC|IU||||1409904240||||||||||||||||||||||||||BL|||Y|Y|Y|Y|5331201785|20040812000000|
BL|NEUR|11400DC3EF5C041EE043814FD881041E|1.0|BL-NEUR|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-NEUR| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|NEUS|11400DC3EF5D041EE043814FD881041E|1.0|BL-NEUS|IU|IUBLA|BL|BL|1860703812||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-NEUS|||||||||BL|||Y|N|Y|N|1860703812|20040819000000|
BL|NFAS|11400DC3F457041EE043814FD881041E|1.0|BL-NFAS|IU||||||||||||||||||||||||||||||BL|||||Y||2362105752|20050304000000|
BL|NHIS|11400DC3F488041EE043814FD881041E|1.0|BL-NHIS|IU||||||||||||||||||||||||||||||BL||||Y|Y||3439809008|20050322000000|
BL|NIFS|11400DC3EF5E041EE043814FD881041E|1.0|BL-NIFS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-NIFS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|NPHC|11400DC3EF5F041EE043814FD881041E|1.0|BL-NPHC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-NPHC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|NPOL|11400DC3F47E041EE043814FD881041E|1.0|BL-NPOL|IU||||||||||||||||||||||||||||||BL||||Y|Y||2552202601|20050322000000|
BL|NTC|11400DC3EF60041EE043814FD881041E|1.0|BL-NTC|IU||||1730300231||||||||||||||||||||||||||BL|||Y||Y||3211600354|20041215000000|
BL|NURS|11400DC3EF61041EE043814FD881041E|1.0|BL-NURS|IU|IUBLA|BL|BL|5822209974||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-NURS|||||||||BL|||Y|Y|Y|Y|5822209974|20040811000000|
BL|OACA|11400DC3EF62041EE043814FD881041E|1.0|BL-OACA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-OACA| | | | | | | | |BL|| |N|N|N|N||20021102000000|
BL|OADT|11400DC3EF63041EE043814FD881041E|1.0|BL-OADT|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-OADT| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|OAMH|11400DC3EF64041EE043814FD881041E|1.0|BL-OAMH|IU|IUBLA|BL|BL|3933407724||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-OAMH|||||||||BL|||Y|N|Y|Y|3933407724|20040812000000|
BL|OASD|11400DC3EF65041EE043814FD881041E|1.0|BL-OASD|IU||||4054206419||||||||||||||||||||||||||BL|||Y||Y||4054206419|20040810000000|
BL|OBGY|11400DC3EF66041EE043814FD881041E|1.0|BL-OBGY|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-OBGY| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|OCUD|11400DC3F392041EE043814FD881041E|1.0|BL-OCUD|IU||||1872708343||||||||||||||||||||||||||BL|||||||2843302291|20041112000000|
BL|OES|11400DC3EF67041EE043814FD881041E|1.0|BL-OES|IU||||4545405888||||||||||||||||||||||||||BL|||Y|N|Y|Y|4186105395|20030927000000|
BL|OHIS|11400DC3EF68041EE043814FD881041E|1.0|BL-OHIS|IU|IUBLA|BL|BL|4406304317||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-OHIS|||||||ALEY 264, ASHTON||BL|BL285|264|Y|N|Y|Y|5106602443|20040816000000|
BL|OPRT|11400DC3EF69041EE043814FD881041E|1.0|BL-OPRT|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-OPRT| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|OPT|11400DC3EF6A041EE043814FD881041E|1.0|BL-OPT|IU|IUBLA|BL|BL|5594003018||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-OPT|||||||||BL|||Y|Y|Y|Y|2843302291|20040322000000|
BL|OPTH|11400DC3EF6E041EE043814FD881041E|1.0|BL-OPTH|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-OPTH| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|OPTL|11400DC3EF6B041EE043814FD881041E|1.0|BL-OPTL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-OPTL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ORGN|11400DC3EF6C041EE043814FD881041E|1.0|BL-ORGN|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ORGN| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|ORIE|11400DC3EF6D041EE043814FD881041E|1.0|BL-ORIE|IU|IUBLA|BL|BL|5360703640| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-ORIE| | | | | | | | |BL|| |Y|N|N|N|6142600681|20021102000000|
BL|OSFA|11400DC3EF6F041EE043814FD881041E|1.0|BL-OSFA|IU|IUBLA|BL|BL|4816704135||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-OSFA|||||||||BL|||Y|N|Y|Y|4816704135|20040719000000|
BL|OVER|11400DC3EF70041EE043814FD881041E|1.0|BL-OVER|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-OVER| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PADM|11400DC3EF76041EE043814FD881041E|1.0|BL-PADM|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PADM| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PBIO|11400DC3EF77041EE043814FD881041E|1.0|BL-PBIO|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PBIO| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PERC|11400DC3EF71041EE043814FD881041E|1.0|BL-PERC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PERC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PERS|11400DC3F422041EE043814FD881041E|1.0|BL-PERS|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|PGP|11400DC3EF72041EE043814FD881041E|1.0|BL-PGP|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PGP| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PHAR|11400DC3EF73041EE043814FD881041E|1.0|BL-PHAR|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PHAR| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PHER|11400DC3EF74041EE043814FD881041E|1.0|BL-PHER|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PHER| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PHMR|11400DC3EF75041EE043814FD881041E|1.0|BL-PHMR|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PHMR| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PHSL|11400DC3EF78041EE043814FD881041E|1.0|BL-PHSL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PHSL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PHYE|11400DC3EF79041EE043814FD881041E|1.0|BL-PHYE|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PHYE| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PHYP|11400DC3EF7A041EE043814FD881041E|1.0|BL-PHYP|IU||||4450801341||||||||||||||||||||||||||BL|||Y|||Y|3710502966|20041108000000|
BL|PHYS|11400DC3EF7B041EE043814FD881041E|1.0|BL-PHYS|IU||||1545104915||||||||||||||||||||||||||BL|||Y|Y|Y|Y|1545104915|20040819000000|
BL|PIAN|11400DC3EF7C041EE043814FD881041E|1.0|BL-PIAN|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PIAN| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PIRT|11400DC3EF7D041EE043814FD881041E|1.0|BL-PIRT|IU||||5049708811||||||||||||||||||||||||||BL|||Y||Y||3304009222|20041215000000|
BL|PL|11400DC3EF7E041EE043814FD881041E|1.0|BL-PL|IU||||3892107556||||||||||||||||||||||||||BL|||Y|Y|Y|Y|3892107556|20040819000000|
BL|PLAC|11400DC3EF7F041EE043814FD881041E|1.0|BL-PLAC|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-PLAC|||||||||BL|||N|N|Y|N|4385708213|20040719000000|
BL|PLST|11400DC3EF80041EE043814FD881041E|1.0|BL-PLST|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PLST| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|POLS|11400DC3EF81041EE043814FD881041E|1.0|BL-POLS|IU|IUBLA|BL|BL|2552202601||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-POLS|||||||||BL|||Y|Y|Y|Y|2552202601|20040819000000|
BL|POSC|11400DC3EF89041EE043814FD881041E|1.0|BL-POSC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-POSC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|POYC|11400DC3EF82041EE043814FD881041E|1.0|BL-POYC|IU||||4406304317||||||||||||||||||||||||||BL|||Y||Y|Y|2506704099|20040816000000|
BL|PROF|11400DC3EF83041EE043814FD881041E|1.0|BL-PROF|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PROF| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PSAF|11400DC3EF84041EE043814FD881041E|1.0|BL-PSAF|IU|IUBLA|BL|BL|4507204997||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-PSAF|||||||1025 E. 7TH STREET||BL|BL119|179|Y|N|N|N|3083208092|20041202000000|
BL|PSY|11400DC3EF85041EE043814FD881041E|1.0|BL-PSY|IU|IUBLA|BL|BL|3421900658||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-PSY|||||||||BL|||Y|Y|Y|Y|4318506633|20040819000000|
BL|PSYC|11400DC3EF86041EE043814FD881041E|1.0|BL-PSYC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PSYC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|PTCR|11400DC3F3DC041EE043814FD881041E|1.0|BL-PTCR|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|PUBD|11400DC3F423041EE043814FD881041E|1.0|BL-PUBD|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|PUBL|11400DC3F424041EE043814FD881041E|1.0|BL-PUBL|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|PUBS|11400DC3EF87041EE043814FD881041E|1.0|BL-PUBS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-PUBS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|QBA|11400DC3EF8A041EE043814FD881041E|1.0|BL-QBA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-QBA| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RAON|11400DC3EF8B041EE043814FD881041E|1.0|BL-RAON|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RAON| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RAST|11400DC3EF88041EE043814FD881041E|1.0|BL-RAST|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RAST| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RCA|11400DC3F425041EE043814FD881041E|1.0|BL-RCA|IU||||||||||||||||||||||||||||||BL|||||Y|||20040615000000|
BL|RCAD|11400DC3EF8C041EE043814FD881041E|1.0|BL-RCAD|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RCAD| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RCC|11400DC3EF96041EE043814FD881041E|1.0|BL-RCC|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RCC| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RCI|11400DC3F44E041EE043814FD881041E|1.0|BL-RCI|IU|IUBLA|BL|BL|4052406505||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-RUAD|||||||||BL|BL007|116|N|N|N|N|4052406505|20041018000000|
BL|RCOM|11400DC3F38A041EE043814FD881041E|1.0|BL-RCOM|IU||||4406304317||||||||||||||||||||||||||BL|||||||1730300231|20041215000000|
BL|RDEV|11400DC3EF8D041EE043814FD881041E|1.0|BL-RDEV|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RDEV| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|READ|11400DC3EF8E041EE043814FD881041E|1.0|BL-READ|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-READ| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RECP|11400DC3EF8F041EE043814FD881041E|1.0|BL-RECP|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RECP| | | | | | | | |BL|| |N|Y|Y|N||20021102000000|
BL|RECS|11400DC3EF90041EE043814FD881041E|1.0|BL-RECS|IU|IUBLA|BL|BL|4507204997||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-RECS|||||||1025 E. 7TH STREET|HPER 290|BL|BL091|290|Y|N|N|N|2020303640|20041202000000|
BL|REEI|11400DC3EF91041EE043814FD881041E|1.0|BL-REEI|IU|IUBLA|BL|BL|2396907870||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-REEI|||||||||BL|||Y|N|Y|Y|2396907870|20040819000000|
BL|REGR|11400DC3EF92041EE043814FD881041E|1.0|BL-REGR|IU||||2950605083||||||||||||||||||||||||||BL|||Y|N|N|Y|4960507840|20021218000000|
BL|REL|11400DC3EF93041EE043814FD881041E|1.0|BL-REL|IU|IUBLA|BL|BL|2620008671||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-REL|||||||||BL|||Y|Y|Y|Y|2620008671|20040715000000|
BL|RENA|11400DC3EF94041EE043814FD881041E|1.0|BL-RENA|IU|IUBLA|BL|BL|||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-RENA|||||||||BL|||N|N|Y|N||20030528000000|
BL|RESL|11400DC3EF95041EE043814FD881041E|1.0|BL-RESL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RESL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RHS|11400DC3F430041EE043814FD881041E|1.0|BL-RHS|IU||||4406304317||||||||||||||||||||||||107 S INDIANA AVE|BLOOMINGTON, IN 47405|BL|BL007|116|||||1730300231|20041215000000|
BL|RIFI|11400DC3EF97041EE043814FD881041E|1.0|BL-RIFI|IU|IUBLA|BL|BL|5694307882| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RIFI| | | | | | | | |BL|| |Y|N|Y|N|5694307882|20021102000000|
BL|RLAN|11400DC3EF98041EE043814FD881041E|1.0|BL-RLAN|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RLAN| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RLS|11400DC3EF99041EE043814FD881041E|1.0|BL-RLS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RLS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RLSS|11400DC3EF9A041EE043814FD881041E|1.0|BL-RLSS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RLSS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RMIS|11400DC3EF9B041EE043814FD881041E|1.0|BL-RMIS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RMIS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RPAD|11400DC3EF9C041EE043814FD881041E|1.0|BL-RPAD|IU|IUBLA|BL|BL|4507204997||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-RPAD|||||||1025 E. SEVENTH STREET|HPER 133|BL|BL119|133|Y|N|Y|N|5009908085|20050322000000|
BL|RPAS|11400DC3EF9D041EE043814FD881041E|1.0|BL-RPAS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RPAS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RRPS|11400DC3EF9E041EE043814FD881041E|1.0|BL-RRPS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-RRPS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|RSPK|11400DC3F3A2041EE043814FD881041E|1.0|BL-RSPK|IU||||||||||||||||||||||||||||||BL||||||||20031014000000|
BL|RTVS|11400DC3EF9F041EE043814FD881041E|1.0|BL-RTVS|IU|IUBLA|BL|BL|6065408755||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-RTVS|||||||||BL|||Y|N|Y|Y|5755900139|20041208000000|
BL|RUAD|11400DC3EFA0041EE043814FD881041E|1.0|BL-RUAD|IU|IUBLA|BL|BL|4406304317||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-RUAD|||||||||BL|||Y|N|N|Y|1730300231|20040816000000|
BL|RUGS|11400DC3EFA1041EE043814FD881041E|1.0|BL-RUGS|IU||||4406304317||||||||||||||||||||||||||BL|||||Y|Y|1730300231|20040816000000|
BL|SACR|11400DC3EFA2041EE043814FD881041E|1.0|BL-SACR|IU|IUBLA|BL|BL|3616406417||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-SACR|||||||||BL|||Y|N|Y|N|3616406417|20040519000000|
BL|SACT|11400DC3EFA3041EE043814FD881041E|1.0|BL-SACT|IU|IUBLA|BL|BL|2552809682||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-SACT|||||||||BL|||Y|N|Y|N|2552809682|20030829000000|
BL|SADV|11400DC3F38F041EE043814FD881041E|1.0|BL-SADV|IU||||||||||||||||||||||||||||||BL|||||||2552809682|20030829000000|
BL|SAID|11400DC3F382041EE043814FD881041E|1.0|BL-SAID|IU||||||||||||||||||||||||||||||BL||||||||20030627000000|
BL|SCAM|11400DC3EFA4041EE043814FD881041E|1.0|BL-SCAM|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SCAM| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SCL|11400DC3EFA5041EE043814FD881041E|1.0|BL-SCL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SCL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SDTP|11400DC3EFA6041EE043814FD881041E|1.0|BL-SDTP|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SDTP| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SERA|11400DC3F397041EE043814FD881041E|1.0|BL-SERA|IU||||1872708343||||||||||||||||||||||||||BL|||||||2422606713|20041112000000|
BL|SERD|11400DC3EFA7041EE043814FD881041E|1.0|BL-SERD|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SERD| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SETH|11400DC3EFA8041EE043814FD881041E|1.0|BL-SETH|IU|IUBLA|BL|BL|5424404553||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-SETH|||||||||BL|||Y|N|N|N|2552809682|20040107000000|
BL|SEX|11400DC3EFA9041EE043814FD881041E|1.0|BL-SEX|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SEX| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SLAV|11400DC3EFAA041EE043814FD881041E|1.0|BL-SLAV|IU|IUBLA|BL|BL|3953901363| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SLAV| | | | | | | | |BL|| |Y|Y|Y|Y|3953901363|20021102000000|
BL|SLEG|11400DC3EFAB041EE043814FD881041E|1.0|BL-SLEG|IU|IUBLA|BL|BL|1858404165||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-SLEG|||||||||BL|||Y|N|Y|Y|2552809682|20040107000000|
BL|SLIS|11400DC3EFAC041EE043814FD881041E|1.0|BL-SLIS|IU|IUBLA|BL|BL|5268706644| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SLIS| | | | | | | | |BL|| |Y|Y|Y|Y|5268706644|20021102000000|
BL|SLSL|11400DC3EFAD041EE043814FD881041E|1.0|BL-SLSL|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SLSL| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SOC|11400DC3EFAE041EE043814FD881041E|1.0|BL-SOC|IU|IUBLA|BL|BL|2698204697| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SOC| | | | | | | | |BL|| |Y|Y|Y|Y|2698204697|20021102000000|
BL|SOCA|11400DC3EFAF041EE043814FD881041E|1.0|BL-SOCA|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SOCA| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SOCS|11400DC3EFB0041EE043814FD881041E|1.0|BL-SOCS|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SOCS| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SOVE|11400DC3EFB1041EE043814FD881041E|1.0|BL-SOVE|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SOVE| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SPAN|11400DC3EFB2041EE043814FD881041E|1.0|BL-SPAN|IU|IUBLA|BL|BL|3311909675| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SPAN| | | | | | | | |BL|| |Y|Y|Y|Y|3311909675|20021102000000|
BL|SPAR|11400DC3EFB3041EE043814FD881041E|1.0|BL-SPAR|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SPAR| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SPCH|11400DC3EFB4041EE043814FD881041E|1.0|BL-SPCH|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SPCH| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
BL|SPCM|11400DC3EFB5041EE043814FD881041E|1.0|BL-SPCM|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SPCM| | | | | | | | |BL|| |N|Y|Y|N||20021102000000|
BL|SPEA|11400DC3EFB6041EE043814FD881041E|1.0|BL-SPEA|IU|IUBLA|BL|BL|1525600953||630.0|D||15||||IU||N|N|N|Y|Y|N|BL-SPEA|||||||||BL|||Y|Y|Y|Y|5340904165|20030328000000|
BL|SPEC|11400DC3F43B041EE043814FD881041E|1.0|BL-SPEC|IU||||||||||||||||||||||||||||||BL|||||||2843302291|20040923000000|
BL|SPER|11400DC3EFB7041EE043814FD881041E|1.0|BL-SPER|IU|IUBLA|BL|BL|| |630.0|D| |15| | | |IU| |N|N|N|Y|Y|N|BL-SPER| | | | | | | | |BL|| |N|N|Y|N||20021102000000|
