position_nbr|univ_fiscal_yr|ver_nbr|pos_effdt|pos_eff_status|posn_status|budgeted_posn|confidential_posn|pos_std_hrs_dflt|pos_reg_temp|pos_fte|iu_norm_work_months|iu_pay_months|pos_descr|setid_dept|pos_deptid|rc_cd|pos_union_cd|pos_sal_plan_dflt|pos_grade_dflt|setid_jobcode|jobcode|jbcd_descr|setid_salary|iu_dflt_obj_cd|iu_position_type|pos_lock_usr_id|
00029998|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00030052|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00030068|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00030288|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00030344|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BL-PSY|04||SS|0D|||||2500|SB||
00030389|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00030390|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00030391|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00030392|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00030541|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
00030851|2009.0|1.0|20070701000000|A|A|Y|N|40.0|R||12.0|12.0|Generated from CSF||BA-PARK|80||PAE|5AD|||||2400|SM||
00030946|2009.0|1.0|20070801000000|A|A|Y|N|40.0|R||10.0|10.0|Generated from CSF||BL-PSY|04||AC1|FTX|||||2000|AC||
